agent,userType,policy_mode,producer,policy_number,premium_amount_written,premium_amount,policy_type,company_name,category_name,policy_start_date,policy_end_date,csr,account_name,email,gender,firstname,city,account_type,phone,address,state,zip,dob,primary,Applicant ID,agency_id,hasActive ClientPolicy
Alex Watson,Active Client,12,Brandie Placencia,YEEX9MOIBU7X,,1180.83,Single,Integon Gen Ins Corp,Commercial Auto,2018-11-02,2019-11-02,Tami Ellison,Lura Lucca & Owen Dodson,madler@yahoo.ca,,Lura Lucca,MOCKSVILLE,Commercial,8677356559,170 MATTHIAS CT,NC,27028,1960-02-11,,,,
Alex Watson,Active Client,12,Sol Birney,7CZ3CLKWMSKH,,2105.9,Single,Integon Ind Corp,Commercial Auto,2018-11-09,2019-11-09,Molly Eaton,Torie Buchanan & Glenda Ruiz,mbalazin@mac.com,,Torie Buchanan,WINSTON SALEM,Commercial,6094964988,910 DELMONTE DR,NC,27106,1946-10-17,,,,
Alex Watson,Active Client,12,Yee Ribble,ZSB972578CRV,,2105.9,Single,Integon Ind Corp,Commercial Auto,2018-11-09,2019-11-09,Gordon Carey,Sebastian Scarberry & Jonah Bishop,maikelnai@msn.com,,Sebastian Scarberry,WINSTON SALEM,Commercial,6888541383,910 DELMONTE DR,NC,27106,1958-08-20,,,,
Alex Watson,Active Client,6,Carmella Landers,JRWJV5U5XWE4,,1323.63,Single,Nationwide Prop & Cas Ins Co_Copy,Personal Auto,2018-12-31,2019-06-30,Cliff Alvarez,Vergie Hardesty & Wilma Wong,killmenow@me.com,,Vergie Hardesty,Winston Salem,Commercial,4183346713,301 N Main St Ste 2100,NC,27101-3843,1958-08-20,,,,
Alex Watson,Active Client,6,Jared Roan,AUU730H3S5JU,,1323.63,Single,Nationwide Prop & Cas Ins Co_Copy,Personal Auto,2018-12-31,2019-06-30,Jan Hensley,Omar Rossbach & Laurie Ortega,bhtower@hotmail.com,,Omar Rossbach,Winston Salem,Commercial,7645408831,301 N Main St Ste 2100,NC,27101-3843,1949-11-20,,,,
Alex Watson,Active Client,6,Victorina Ebert,60G18LYQO157,,729.13,Single,Nationwide Prop & Cas Ins Co_Copy,Personal Auto,2018-12-07,2019-06-07,Cara Mccoy,Lucius Galeana & Efren Pena,whimsy@hotmail.com,,Lucius Galeana,Winston Salem,Commercial,7556142383,1505 Barrington Way Ct,NC,27106-4798,1949-11-20,,,,
Alex Watson,Active Client,12,Emiko Lobo,52W3TI0WSRYZ,,1495,Single,Nationwide Mut Fire Ins Co,Homeowners,2018-07-05,2019-07-05,Harley Kerr,Humberto Boykins & Angelo Pugh,jimxugle@me.com,,Humberto Boykins,Winston Salem,Commercial,5813432048,2970 Kedron Ct,NC,27106-5009,1951-11-15,,,,
Alex Watson,Active Client,6,Xavier Hughes,1L4U1S4WVUS0,,644.01,Single,Nationwide Mut Ins Co_Copy,Personal Auto,2019-02-01,2019-08-01,Todd Mckee,Chia Duque & Moses Wilcox,dwendlan@gmail.com,,Chia Duque,Winston Salem,Commercial,7045490404,2970 Kedron Ct,NC,27106-5009,1952-09-24,,,,
Alex Watson,Active Client,6,Aubrey Loder,CNJHKXQCQVBM,,548.38,Single,Nationwide Mut Ins Co_Copy,Personal Auto,2018-11-14,2019-05-14,Sherri Austin,Shawnda Armond & Long Miranda,vertigo@msn.com,,Shawnda Armond,Winston Salem,Commercial,9103623679,2460 Lake Forest Dr,NC,27106-9734,1960-08-09,,,,
Alex Watson,Active Client,6,Dayle Mckeithan,Q01S2KNCDUQR,,1264.74,Single,Nationwide Mut Ins Co_Copy,Personal Auto,2018-11-07,2019-05-07,Lacy Gibson,Brian Alverson & Shaun Bullock,msroth@gmail.com,,Brian Alverson,Winston Salem,Commercial,6865129166,P.O. BOX 25125,NC,27114-5125,1960-08-09,,,,
Alex Watson,Active Client,6,Lurlene Raynes,NYFOTB3O6Y29,,719.85,Single,Nationwide Mut Ins Co_Copy,Personal Auto,2019-01-03,2019-07-03,Wyatt Holland,Tatum Washinton & Ike Clarke,hoangle@optonline.net,,Tatum Washinton,Winston Salem,Commercial,2130872415,1425 W 1St St Ste C,NC,27101-2666,1978-05-15,,,,
Alex Watson,Active Client,6,Alton Shute,BSUCYALU5J8Z,,456.27,Single,Nationwide Mut Ins Co_Copy,Personal Auto,2018-12-20,2019-06-20,Kris Owen,Lois Elza & Becky Farrell,brickbat@sbcglobal.net,,Lois Elza,Pfafftown,Commercial,4020059092,5989 Joyce Norman Rd,NC,27040-9777,1962-07-10,,,,
Alex Watson,Active Client,6,Vasiliki Stiefel,WHMGSZ30KN64,,456.26,Single,Nationwide Prop & Cas Ins Co_Copy,Personal Auto,2018-12-17,2019-06-17,Luann Summers,Sierra Gaskamp & Leon Trevino,presoff@yahoo.com,,Sierra Gaskamp,Winston Salem,Commercial,2524067998,626 W 24 1/2 St,NC,27105-4905,1962-07-10,,,,
